dataset,source_dataset,graph_path,source_query_path,query_path,source_query_begin,source_query_end,g,f_target,queries,realized_mean_f,minimum_group_size,maximum_group_size,sampling
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g5_f200.txt,1,10,5,200,10,202.82,153,241,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g5_f400.txt,11,20,5,400,10,404.94,310,535,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g5_f800.txt,21,30,5,800,10,817.1,603,964,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g5_f1600.txt,31,40,5,1600,10,1569.48,1111,1864,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g6_f200.txt,41,50,6,200,10,199.33333333333334,142,238,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g6_f400.txt,51,60,6,400,10,400.43333333333334,296,501,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g6_f800.txt,61,70,6,800,10,792.5333333333333,631,970,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g6_f1600.txt,71,80,6,1600,10,1614.9166666666667,1249,2026,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g7_f200.txt,81,90,7,200,10,201.67142857142858,158,261,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g7_f400.txt,91,100,7,400,10,408.3,319,490,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g7_f800.txt,101,110,7,800,10,802.5428571428571,603,1013,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g7_f1600.txt,111,120,7,1600,10,1620.9857142857143,1149,2111,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g8_f200.txt,121,130,8,200,10,198.05,158,246,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g8_f400.txt,131,140,8,400,10,401.9625,319,478,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g8_f800.txt,141,150,8,800,10,801.025,532,970,exact copy of the unpublished Practical-paper query block
Toronto,Toronto,data/Toronto,data/Toronto/query.txt,experiment_data/practical_original/Toronto/original_g8_f1600.txt,151,160,8,1600,10,1584.9,1319,1973,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g5_f200.txt,1,10,5,200,10,195.34,163,233,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g5_f400.txt,11,20,5,400,10,392.26,322,481,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g5_f800.txt,21,30,5,800,10,787.68,636,1004,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g5_f1600.txt,31,40,5,1600,10,1639.74,1289,1990,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g6_f200.txt,41,50,6,200,10,202.55,155,260,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g6_f400.txt,51,60,6,400,10,395.25,313,501,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g6_f800.txt,61,70,6,800,10,799.45,565,1051,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g6_f1600.txt,71,80,6,1600,10,1589.2833333333333,1226,1988,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g7_f200.txt,81,90,7,200,10,202.17142857142858,133,252,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g7_f400.txt,91,100,7,400,10,398.14285714285717,313,486,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g7_f800.txt,101,110,7,800,10,797.3142857142857,618,973,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g7_f1600.txt,111,120,7,1600,10,1622.857142857143,1148,1965,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g8_f200.txt,121,130,8,200,10,200.8,161,239,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g8_f400.txt,131,140,8,400,10,399.6625,266,506,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g8_f800.txt,141,150,8,800,10,803.3125,632,1043,exact copy of the unpublished Practical-paper query block
MovieLens,MovieLens,data/MovieLens,data/MovieLens/query.txt,experiment_data/practical_original/MovieLens/original_g8_f1600.txt,151,160,8,1600,10,1579.3875,1212,1955,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g5_f200.txt,1,10,5,200,10,197.7,141,251,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g5_f400.txt,11,20,5,400,10,393.04,314,468,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g5_f800.txt,21,30,5,800,10,811.24,670,981,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g5_f1600.txt,31,40,5,1600,10,1618.0,1227,1952,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g6_f200.txt,41,50,6,200,10,203.13333333333333,159,233,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g6_f400.txt,51,60,6,400,10,408.21666666666664,328,515,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g6_f800.txt,61,70,6,800,10,803.8,664,1017,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g6_f1600.txt,71,80,6,1600,10,1589.7,1121,1957,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g7_f200.txt,81,90,7,200,10,204.04285714285714,165,255,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g7_f400.txt,91,100,7,400,10,403.45714285714286,296,479,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g7_f800.txt,101,110,7,800,10,807.5571428571428,614,946,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g7_f1600.txt,111,120,7,1600,10,1586.0142857142857,1246,1898,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g8_f200.txt,121,130,8,200,10,202.2625,165,262,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g8_f400.txt,131,140,8,400,10,396.475,299,512,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g8_f800.txt,141,150,8,800,10,792.7375,621,990,exact copy of the unpublished Practical-paper query block
DBLP-VEW21,DBLP,data/DBLP,data/DBLP/query.txt,experiment_data/practical_original/DBLP/original_g8_f1600.txt,151,160,8,1600,10,1628.8,1029,2019,exact copy of the unpublished Practical-paper query block
